Comune,Località,Nome_località,Alt,accessibilità principale,descrizione tipologica,servizi,elementi urbanistici,viabilità interna 1,viabilità interna 2,edifici civili,edifici rurali,edifici multifunzione,edifici in rovina,uso originario - attuale 1,uso originario - attuale 2,stato di conservazione,giacitura e soleggiamento (descrizione morfologica)
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Frondaglio (https://www.notion.so/Alpe-Frondaglio-2d1ac67d621d40e699ad7d1fe023cba2?pvs=21),Frondaglio,1682,sentiero,accentrato,0,fontana,pedonale,terra battuta,7,26,0,10,stagionale,abbandono,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Gallivaggio (https://www.notion.so/Gallivaggio-18a72f5d334648b5b3fc1178ff421adc?pvs=21),Gallivaggio,800,strada asfaltata,lineare,"BT, C, ILL, RE, RI, RT, TP",fontana,veicolare,"terra battuta, piode, acciottolato, porfido/granito",7,0,0,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza fondovalle / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Ganda (https://www.notion.so/Ganda-abaf7283808c468dbc8e04eb01930dd9?pvs=21),Ganda,1475,strada sterrata,accentrato,0,fontana,pedonale,terra battuta,5,8,2,1,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Scalcoggia (https://www.notion.so/Scalcoggia-cf80bab9e63547a7a9f570b9f34675ea?pvs=21),Il Buco,1504,strada asfaltata,accentrato,"RE, RI, RT", ,veicolare,terra battuta,4,3,0,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Isola (https://www.notion.so/Isola-59cbc18aa9b1402fb2a0ba148ceaf494?pvs=21),Isola,1258,strada asfaltata,lineare,"BT, C, ILL, RE, RI, RT, TP","fontana, soste",veicolare,terra battuta,60,17,6,5,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),La Motta (https://www.notion.so/La-Motta-08b6041769ee412b963eee76ed144522?pvs=21),La Motta,1056,,accentrato,"ILL, RE, RI, RT","fontana, lavatoio",pedonale,acciottolato a coltello con traversine trasversali,19,9,9,1,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza mezza costa / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Scalcoggia (https://www.notion.so/Scalcoggia-cf80bab9e63547a7a9f570b9f34675ea?pvs=21),La Stufa,1488,sentiero,accentrato,"RE, RI",fontana,pedonale,terra battuta,2,1,1,0,permanente,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Lagunc (https://www.notion.so/Lagunc-833abe7f4e6a4f45956a6dbb4cd4e87b?pvs=21),Lagunc,1348,sentiero,,0,"fontana, soste",pedonale,"terra battuta, piode, acciottolato",22,11,1,0,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Lirone (https://www.notion.so/Lirone-2bc1895b4a674102a583d2e05d0e4aee?pvs=21),Lirone,900,strada asfaltata,accentrato,"BT, ILL, RE, RI, RT, TP","fontana, soste",pedonale,"terra battuta, piode, acciottolato",34,21,4,4,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza fondovalle / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Maccolini (https://www.notion.so/Alpe-Maccolini-a9a37fceff0b4004a8bba93ee6150b31?pvs=21),Macolini,1668,strada asfaltata,a nuclei,"RE, RI",fontana,veicolare,terra battuta,15,5,1,0,permanente,discontinuo,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),Martegno,1802,strada sterrata,accentrato,"BT, RE, RI, TP",fontana,veicolare,terra battuta,15,7,4,2,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Martinone (https://www.notion.so/Martinone-1207c49d99b1808bae45fa17c7acd643?pvs=21),Martinone,1242,mulattiera,a nuclei,"ILL, RE, RI",vasca in pietra monolitica,pedonale,acciottolato a coltello con traversine trasversali,20,8,9,0,permanente,permanente,complesso in discrete condizioni di conservazione,in pendenza mezza costa / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Montespluga (https://www.notion.so/Montespluga-1091553a26e74c3680def1aebced948d?pvs=21),Montespluga,1905,strada asfaltata,accentrato,"BT, ILL, RE, RI, RT, TP","fontana, soste",veicolare,terra battuta,74,15,6,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Alpe Motta (https://www.notion.so/Alpe-Motta-9e4d782b149e4d8dad237e7ecc2cdb64?pvs=21),Motta Alta,1840,strada sterrata,a nuclei,"BT, ILL, RE, RI, RT",fontana,veicolare,terra battuta,29,21,7,1,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Motta San Guglielmo (https://www.notion.so/Motta-San-Guglielmo-0a936808a9e34335959c17e883d3f80e?pvs=21),Motta di S Giacomo / S Guglielmo,600,strada asfaltata,accentrato,"ILL, RE, RI, RT",fontana,pedonale,"acciottolato a coltello con traversine trasversali, terra battuta, piode, acciottolato",5,6,4,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza fondovalle / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Motta di Sotto / Marcadello (https://www.notion.so/Motta-di-Sotto-Marcadello-f5272861d33c47269c5fb3328fbc1bf5?pvs=21),Motta di Sotto / Marcadello,1720,strada asfaltata,sparso,"ILL, RE, RI, RT",fontana,veicolare,terra battuta,56,9,3,1,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),Mottaccio,1707,strada sterrata,a nuclei,"RE, RI",fontana,pedonale,terra battuta,13,5,0,6,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Mottaletta (https://www.notion.so/Mottaletta-120a84cff7be43d7b1f4536e6ceaa14b?pvs=21),Mottaletta,1345,strada sterrata,accentrato,"BT, ILL, RE, RI",fontana,pedonale,terra battuta,23,15,8,2,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),Motto della Croce / La Croce,1770,strada sterrata,a nuclei,"RE, RI", ,veicolare,terra battuta,19,13,3,2,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Scalcoggia (https://www.notion.so/Scalcoggia-cf80bab9e63547a7a9f570b9f34675ea?pvs=21),Muschi,1522,strada sterrata,accentrato,"RE, RI, RT","fontana, lavatoio",veicolare,terra battuta,3,0,2,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Olmo (https://www.notion.so/Olmo-6f74852fc0c54fef96da140f7738b8f0?pvs=21),Olmo,1056,strada asfaltata,a nuclei,"C, RE, RI, RT, ILL, TP","fontana, soste",pedonale,acciottolato a coltello con traversine trasversali,36,16,21,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza mezza costa / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Palu / Palude (https://www.notion.so/Palu-Palude-44e066ae4ee04da7b103227e21764b2b?pvs=21),Palude / Palù,1828,strada asfaltata,lineare,"RE, RI",fontana,veicolare,terra battuta,21,19,5,0,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-70162b5d2b4e4e07854f2ee3faa93a2d?pvs=21),Pianazzo,1395,strada asfaltata,accentrato,"BT, C, ILL, RE, RI, RT, TP","fontana, lavatoio, passaggi coperti, soste",veicolare,terra battuta,74,8,4,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna /medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Pianello (https://www.notion.so/Pianello-8c555b306e254226a8984980f7d8ed14?pvs=21),Pianello,1746,strada sterrata,sparso,RI,fontana,pedonale,terra battuta,14,8,3,2,discontinuo,discontinuo,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Pietra (https://www.notion.so/Pietra-860742dcde46489ab9959bb256d306e2?pvs=21),Pietra,1062,strada asfaltata,lineare,"ILL, RE, RI, RT",fontana,veicolare,,53,15,0,1,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-5e1019ae64ee487dbcb542e14f2c7510?pvs=21),Portarezza,1066,strada asfaltata,lineare,"ILL, RE, RI, RT","fontana, soste",veicolare,,24,2,1,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Prestone (https://www.notion.so/Prestone-eee4523141d6486eba1a6657e4a2b6dc?pvs=21),Prestone,1067,strada asfaltata,lineare,"BT, ILL, RE, RI, RT, TP","fontana, lavatoio, soste",veicolare,,96,27,0,2,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Rasdeglia (https://www.notion.so/Rasdeglia-46b3a5295f1a4980bdf662daff7037c5?pvs=21),Rasdeglia,1500,strada sterrata,accentrato,RI,fontana,pedonale,terra battuta,12,11,4,4,permanente,stagionale,complesso in discrete condizioni di conservazione,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sant’Antonio / Drogo (https://www.notion.so/Sant-Antonio-Drogo-50f3498d28e84fc4bd01967b0b4efd86?pvs=21),S Antonio / Drogo,1200,mulattiera,,RI,fontana,pedonale,acciottolato a coltello con traversine trasversali,16,7,0,1,stagionale,stagionale,complesso in discrete condizioni di conservazione,in piano montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sant’Antonio di Albareda (https://www.notion.so/Sant-Antonio-di-Albareda-ff557fa640e84f79be87d8a5920dd9a8?pvs=21),S Antonio di Albareda,833,strada asfaltata,accentrato,"C, RE, RI",fontana,pedonale,"acciottolato a coltello con traversine trasversali, terra battuta, piode, acciottolato",41,18,0,38,permanente,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Bernardo (https://www.notion.so/San-Bernardo-28dc652fbed44b289167967f4fa7495e?pvs=21),S Bernardo / Pascosta,1242,,,"C, ILL, RE, RI, RT",vasca in pietra monolitica,pedonale,acciottolato a coltello con traversine trasversali,30,10,5,0,permanente,permanente,complesso in discrete condizioni di conservazione,in pendenza mezza costa / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Rocco / Scannabecco (https://www.notion.so/San-Rocco-Scannabecco-b5767a654b824576afb6958321c9d86d?pvs=21),S Rocco / Scannabecco,1242,mulattiera,accentrato,"ILL, RE, RI",vasca in pietra monolitica,pedonale,acciottolato a coltello con traversine trasversali,29,23,4,3,permanente,permanente,complesso in discrete condizioni di conservazione,in pendenza mezza costa / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-feb68d992d62434f93bc4892f31eabc9?pvs=21),San Giacomo centro,522,strada asfaltata,a nuclei,"C, ILL, RE, RI, RT, TP","vasca in pietra monolitica, fontana, lavatoio, soste, passaggi coperti",veicolare,"acciottolato a coltello con traversine trasversali, terra battuta, piode, acciottolato",48,19,4,0,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza fondovalle / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Andossi (https://www.notion.so/Alpe-Andossi-fec50a02b5ae437eaad3a4d24adbefa0?pvs=21),San Rocco,1733,strada sterrata,sparso,RI,fontana,veicolare,terra battuta,31,30,8,6,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),Saraia,1165,sentiero,sparso,0,fontana,pedonale,"terra battuta, piode, acciottolato",11,8,4,4,stagionale,stagionale,complesso in discrete condizioni di conservazione,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Scarpatecchio (https://www.notion.so/Scarpatecchio-4fdaa1f9d12f414ba60ea10e26c6659c?pvs=21),Scarpatecchio,604,mulattiera,accentrato,0,fontana,pedonale,terra battuta,2,4,0,8,stagionale,abbandono,complesso in pessime condizioni di conservazione,in piano / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sommarovina (https://www.notion.so/Sommarovina-6f63c62da0df4b6ca5420c6f13699859?pvs=21),Sommarovina,956,sentiero,a nuclei,"RE, RI",,pedonale,"acciottolato a coltello con traversine trasversali, terra battuta, piode, acciottolato",46,34,4,13,permanente,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza mezza costa / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Soste (https://www.notion.so/Alpe-Soste-af72cb9f14b44869853ba418fc7a13a5?pvs=21),Soste di Rasdeglia,1538,sentiero,accentrato,0, ,pedonale,terra battuta,0,3,0,8,stagionale,abbandono,complesso in pessime condizioni di conservazione,in pendenza montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Splughetta (https://www.notion.so/Splughetta-ea499769ee4b47b89d7cc7089c741379?pvs=21),Splughetta,1366,strada asfaltata,accentrato,"BT, RE, RI, TP","fontana, soste",pedonale,terra battuta,25,17,2,3,permanente,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Stabisotto (https://www.notion.so/Stabisotto-10a7c49d99b180d5852af96995a39531?pvs=21),Stabisotto Alta,1647,strada sterrata,accentrato,0,fontana,pedonale,terra battuta,2,6,2,4,permanente,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Stabisotto (https://www.notion.so/Stabisotto-10a7c49d99b180d5852af96995a39531?pvs=21),Stabisotto Bassa,1541,strada sterrata,accentrato,RI, ,pedonale,terra battuta,9,2,3,2,permanente,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / buono
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Starleggia (https://www.notion.so/Starleggia-4bcaf289dbc64efea01a78f87a24755e?pvs=21),Starleggia,1572,strada asfaltata,accentrato,"BT, ILL, RE, RI, RT",fontana,pedonale,terra battuta,68,42,3,10,permanente,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Stuetta (https://www.notion.so/Stuetta-b44d09d2708b4012b094a4c4ad6d791c?pvs=21),Stuetta,1872,strada asfaltata,sparso,"BT, RE, RI, RT, TP","fontana, lavatoio",veicolare,terra battuta,46,15,3,4,permanente,discontinuo,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),Tecciali / Tecciato,1045,sentiero,accentrato,"RE, RI",fontana,pedonale,"acciottolato a coltello con traversine trasversali, terra battuta, piode, acciottolato",10,3,0,2,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Teciai (https://www.notion.so/Teciai-1042579727fc4f6f89ea83f17fb5bffb?pvs=21),Teciai,1759,sentiero,accentrato,0,"fontana, lavatoio",pedonale,terra battuta,6,13,2,2,stagionale,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Teggiate nuova (https://www.notion.so/Teggiate-nuova-8add002893cc48308e05c8ff8c12f0b2?pvs=21),Teggiate nuova,1680,strada asfaltata,accentrato,RE,"fontana, lavatoio",veicolare,terra battuta,19,7,4,0,permanente,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / buono
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Teggiate (https://www.notion.so/Teggiate-d2fd402b73384703a705e3cc36ec8e9d?pvs=21),Teggiate vecchia,1688,sentiero,accentrato,0, ,pedonale,terra battuta,6,2,0,16,permanente,abbandono,complesso in pessime condizioni di conservazione,in pendenza montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Tini,1072,strada asfaltata,accentrato,"BT, ILL, RE, RI, RT","fontana, lavatoio, soste",veicolare,porfido/granito,105,13,2,2,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Uggia (https://www.notion.so/Uggia-35a499283aa041e4bf62ae4a55cc089c?pvs=21),Uggia Sopra,700,strada sterrata,accentrato,0,vasca in pietra monolitica,pedonale,"terra battuta, piode, acciottolato",4,6,3,5,permanente,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza mezza costa / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Uggia (https://www.notion.so/Uggia-35a499283aa041e4bf62ae4a55cc089c?pvs=21),Uggia Sotto,700,strada asfaltata,accentrato,"ILL, RE, RI, RT",,pedonale,"terra battuta, piode, acciottolato",15,7,1,2,permanente,permanente,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza mezza costa / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Valle (https://www.notion.so/Valle-efe4996cc7784c8794a71da4d4d52653?pvs=21),Valle,1554,sentiero,a nuclei,RI,fontana,pedonale,terra battuta,6,12,5,3,permanente,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Vallesegna (https://www.notion.so/Vallesegna-c837cee44d3449c4aea8a12f5f810863?pvs=21),Vallesegna,650,sentiero,accentrato,0,,pedonale,"terra battuta, piode, acciottolato",0,1,6,7,permanente,abbandono,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza fondovalle / medio
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Alpe Vamlera (https://www.notion.so/Alpe-Vamlera-aad00f3ca4fb474a976c447d59ba152d?pvs=21),Vamlera,1885,sentiero,a nuclei,0, ,pedonale,terra battuta,8,30,8,9,stagionale,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Vho (https://www.notion.so/Vho-69552968502b434a89e33666bdebbe00?pvs=21),Vho,930,strada sterrata,accentrato,"ILL, RE, RI, RT","fontana, soste",pedonale,"terra battuta, piode, acciottolato",9,10,3,0,permanente,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano fondovalle / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Zecca (https://www.notion.so/Zecca-da89e34878ed4bb9a97ef1243e3dcdef?pvs=21),Zecca,1162,sentiero,accentrato,0,,pedonale,"terra battuta, piode, acciottolato",0,0,52,0,stagionale,stagionale,complesso in discrete condizioni di conservazione,in pendenza mezza costa / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Zoccane (https://www.notion.so/Zoccane-f29ab4a752d3465982924aaaed74b51a?pvs=21),Zoccane,1470,sentiero,accentrato,0,,pedonale,terra battuta,15,0,0,2,stagionale,abbandono,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / medio
